circuito,escuela,mesa,nombre,votos,perc,percAbs
00668,COLEGIO SAN FERNANDO,0213400027X,CELESTE Y BLANCA - 1,46.0,42.59,19.82
00668,COLEGIO MARIANO MORENO,0213400028X,CELESTE Y BLANCA - 1,58.0,53.7,25.66
00668,COLEGIO MARIANO MORENO,0213400028X,CELESTE Y BLANCA - 2,50.0,46.29,22.12
00668,COLEGIO MARIANO MORENO,0213400029X,CELESTE Y BLANCA - 1,66.0,58.92,29.33
00668,COLEGIO MARIANO MORENO,0213400029X,CELESTE Y BLANCA - 2,46.0,41.07,20.44
00668,COLEGIO MARIANO MORENO,0213400030X,CELESTE Y BLANCA - 1,55.0,50.92,23.4
00668,COLEGIO MARIANO MORENO,0213400030X,CELESTE Y BLANCA - 2,53.0,49.07,22.55
00668,COLEGIO MARIANO MORENO,0213400031X,CELESTE Y BLANCA - 2,60.0,53.57,22.64
00668,COLEGIO MARIANO MORENO,0213400031X,CELESTE Y BLANCA - 1,52.0,46.42,19.62
00668,COLEGIO MARIANO MORENO,0213400032X,CELESTE Y BLANCA - 1,57.0,55.88,25.44
00668,COLEGIO MARIANO MORENO,0213400032X,CELESTE Y BLANCA - 2,45.0,44.11,20.08
00668,COLEGIO MARIANO MORENO,0213400033X,CELESTE Y BLANCA - 1,59.0,57.84,25.0
00668,COLEGIO MARIANO MORENO,0213400033X,CELESTE Y BLANCA - 2,43.0,42.15,18.22
00668,ESCUELA EP N°22,0213400034X,CELESTE Y BLANCA - 1,67.0,54.03,28.03
00668,ESCUELA EP N°22,0213400034X,CELESTE Y BLANCA - 2,57.0,45.96,23.84
00668,ESCUELA EP N°22,0213400035X,CELESTE Y BLANCA - 1,59.0,52.67,26.94
00668,ESCUELA EP N°22,0213400035X,CELESTE Y BLANCA - 2,53.0,47.32,24.2
00668,ESCUELA EP N°22,0213400036X,CELESTE Y BLANCA - 2,53.0,51.45,22.17
00668,ESCUELA EP N°22,0213400036X,CELESTE Y BLANCA - 1,50.0,48.54,20.92
00668,ESCUELA EP N°22,0213400037X,CELESTE Y BLANCA - 2,61.0,53.5,25.84
00668,ESCUELA EP N°22,0213400037X,CELESTE Y BLANCA - 1,53.0,46.49,22.45
00668,ESCUELA EP N°22,0213400038X,CELESTE Y BLANCA - 1,55.0,52.38,22.17
00668,ESCUELA EP N°22,0213400038X,CELESTE Y BLANCA - 2,50.0,47.61,20.16
00668,ESCUELA EP N°22,0213400039X,CELESTE Y BLANCA - 2,157.0,71.68,47.28
00668,ESCUELA EP N°22,0213400039X,CELESTE Y BLANCA - 1,62.0,28.31,18.67
00668,ESCUELA ES N°1/ES N°4,0213400040X,CELESTE Y BLANCA - 1,64.0,64.64,32.65
00668,ESCUELA ES N°1/ES N°4,0213400040X,CELESTE Y BLANCA - 2,35.0,35.35,17.85
00668,ESCUELA ES N°1/ES N°4,0213400041X,CELESTE Y BLANCA - 1,70.0,64.81,30.83
00668,ESCUELA ES N°1/ES N°4,0213400041X,CELESTE Y BLANCA - 2,38.0,35.18,16.74
00668,ESCUELA ES N°1/ES N°4,0213400042X,CELESTE Y BLANCA - 2,63.0,55.26,29.16
00668,ESCUELA ES N°1/ES N°4,0213400042X,CELESTE Y BLANCA - 1,51.0,44.73,23.61
00668,ESCUELA ES N°1/ES N°4,0213400043X,CELESTE Y BLANCA - 1,55.0,59.13,23.01
00668,ESCUELA ES N°1/ES N°4,0213400043X,CELESTE Y BLANCA - 2,38.0,40.86,15.89
00668,ESCUELA ES N°1/ES N°4,0213400044X,CELESTE Y BLANCA - 1,48.0,52.74,19.59
00668,ESCUELA ES N°1/ES N°4,0213400044X,CELESTE Y BLANCA - 2,43.0,47.25,17.55
00668,ESCUELA ES N°1/ES N°4,0213400045X,CELESTE Y BLANCA - 2,61.0,61.0,26.87
00668,ESCUELA ES N°1/ES N°4,0213400045X,CELESTE Y BLANCA - 1,39.0,39.0,17.18
00668,ESCUELA ES N°1/ES N°4,0213400046X,CELESTE Y BLANCA - 1,60.0,53.09,25.0
00668,ESCUELA ES N°1/ES N°4,0213400046X,CELESTE Y BLANCA - 2,53.0,46.9,22.08
00668,ESCUELA ES N°1/ES N°4,0213400047X,CELESTE Y BLANCA - 1,61.0,56.48,27.35
00668,ESCUELA ES N°1/ES N°4,0213400047X,CELESTE Y BLANCA - 2,47.0,43.51,21.07
00668,ESCUELA ES N°1/ES N°4,0213400048X,CELESTE Y BLANCA - 2,61.0,61.61,26.63
00668,ESCUELA ES N°1/ES N°4,0213400048X,CELESTE Y BLANCA - 1,38.0,38.38,16.59
00668,ESCUELA ES N°1/ES N°4,0213400049X,CELESTE Y BLANCA - 2,68.0,55.73,29.18
00668,ESCUELA ES N°1/ES N°4,0213400049X,CELESTE Y BLANCA - 1,54.0,44.26,23.17
00668,ESCUELA EP N°5,0213400050X,CELESTE Y BLANCA - 2,57.0,55.88,25.44
00668,ESCUELA EP N°5,0213400050X,CELESTE Y BLANCA - 1,45.0,44.11,20.08
00668,ESCUELA EP N°5,0213400051X,CELESTE Y BLANCA - 1,61.0,50.83,26.06
00668,ESCUELA EP N°5,0213400051X,CELESTE Y BLANCA - 2,59.0,49.16,25.21
00668,ESCUELA EP N°5,0213400052X,CELESTE Y BLANCA - 2,50.0,53.19,21.45
00668,ESCUELA EP N°5,0213400052X,CELESTE Y BLANCA - 1,44.0,46.8,18.88
00668,ESCUELA EP N°5,0213400053X,CELESTE Y BLANCA - 2,58.0,53.21,25.43
00668,ESCUELA EP N°5,0213400053X,CELESTE Y BLANCA - 1,51.0,46.78,22.36
